"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "XML", "HTML", "Markdown", "PHP", "comment", "blank", "total"
"e:\wamp64\www\ppscpi_lms\client\src\main.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminDashboard.css", "PostCSS", 0, 226, 0, 0, 0, 0, 0, 0, 0, 42, 268
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 347, 0, 0, 0, 0, 0, 0, 24, 371
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminLogin.css", "PostCSS", 0, 65, 0, 0, 0, 0, 0, 0, 0, 9, 74
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminLogin.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 4, 79
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminQueuePage.css", "PostCSS", 0, 448, 0, 0, 0, 0, 0, 0, 0, 75, 523
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminQueuePage.jsx", "JavaScript JSX", 0, 0, 332, 0, 0, 0, 0, 0, 0, 21, 353
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminRequests.css", "PostCSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 13, 93
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminRequests.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 0, 0, 10, 139
"e:\wamp64\www\ppscpi_lms\client\src\pages\ApprovedStudents.css", "PostCSS", 0, 79, 0, 0, 0, 0, 0, 0, 0, 15, 94
"e:\wamp64\www\ppscpi_lms\client\src\pages\ApprovedStudents.jsx", "JavaScript JSX", 0, 0, 172, 0, 0, 0, 0, 0, 0, 15, 187
"e:\wamp64\www\ppscpi_lms\client\src\pages\Cashier.css", "PostCSS", 0, 217, 0, 0, 0, 0, 0, 0, 0, 36, 253
"e:\wamp64\www\ppscpi_lms\client\src\pages\Cashier.jsx", "JavaScript JSX", 0, 0, 325, 0, 0, 0, 0, 0, 0, 22, 347
"e:\wamp64\www\ppscpi_lms\client\src\pages\CashierDashboard.css", "PostCSS", 0, 135, 0, 0, 0, 0, 0, 0, 0, 29, 164
"e:\wamp64\www\ppscpi_lms\client\src\pages\CashierDashboard.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 0, 0, 0, 6, 110
"e:\wamp64\www\ppscpi_lms\client\src\pages\CashierQueuePage.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 0, 0, 9, 135
"e:\wamp64\www\ppscpi_lms\client\src\pages\ChangePassword.css", "PostCSS", 0, 158, 0, 0, 0, 0, 0, 0, 0, 27, 185
"e:\wamp64\www\ppscpi_lms\client\src\pages\ChangePassword.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, 0, 0, 0, 0, 15, 170
"e:\wamp64\www\ppscpi_lms\client\src\pages\EnrollStudentPage.css", "PostCSS", 0, 71, 0, 0, 0, 0, 0, 0, 0, 13, 84
"e:\wamp64\www\ppscpi_lms\client\src\pages\EnrollStudentPage.jsx", "JavaScript JSX", 0, 0, 108, 0, 0, 0, 0, 0, 0, 11, 119
"e:\wamp64\www\ppscpi_lms\client\src\pages\EnrolledStudents.css", "PostCSS", 0, 141, 0, 0, 0, 0, 0, 0, 0, 24, 165
"e:\wamp64\www\ppscpi_lms\client\src\pages\EnrolledStudents.jsx", "JavaScript JSX", 0, 0, 308, 0, 0, 0, 0, 0, 0, 19, 327
"e:\wamp64\www\ppscpi_lms\client\src\pages\Etype.css", "PostCSS", 0, 78, 0, 0, 0, 0, 0, 0, 0, 10, 88
"e:\wamp64\www\ppscpi_lms\client\src\pages\Etype.jsx", "JavaScript JSX", 0, 0, 114, 0, 0, 0, 0, 0, 0, 5, 119
"e:\wamp64\www\ppscpi_lms\client\src\pages\LandingPage.css", "PostCSS", 0, 234, 0, 0, 0, 0, 0, 0, 0, 34, 268
"e:\wamp64\www\ppscpi_lms\client\src\pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 102, 0, 0, 0, 0, 0, 0, 9, 111
"e:\wamp64\www\ppscpi_lms\client\src\pages\NewStudent.css", "PostCSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 11, 91
"e:\wamp64\www\ppscpi_lms\client\src\pages\NewStudent.jsx", "JavaScript JSX", 0, 0, 457, 0, 0, 0, 0, 0, 0, 27, 484
"e:\wamp64\www\ppscpi_lms\client\src\pages\OldStudent.css", "PostCSS", 0, 85, 0, 0, 0, 0, 0, 0, 1, 13, 99
"e:\wamp64\www\ppscpi_lms\client\src\pages\OldStudent.jsx", "JavaScript JSX", 0, 0, 407, 0, 0, 0, 0, 0, 0, 25, 432
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintBalance.css", "PostCSS", 0, 112, 0, 0, 0, 0, 0, 0, 0, 16, 128
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintBalance.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 0, 0, 11, 122
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintCertificate.css", "PostCSS", 0, 137, 0, 0, 0, 0, 0, 0, 0, 18, 155
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintCertificate.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 15, 98
"e:\wamp64\www\ppscpi_lms\client\src\pages\ProfileSearch.css", "PostCSS", 0, 202, 0, 0, 0, 0, 0, 0, 0, 34, 236
"e:\wamp64\www\ppscpi_lms\client\src\pages\ProfileSearch.jsx", "JavaScript JSX", 0, 0, 219, 0, 0, 0, 0, 0, 0, 16, 235
"e:\wamp64\www\ppscpi_lms\client\src\pages\RequestCertificate.css", "PostCSS", 0, 64, 0, 0, 0, 0, 0, 0, 0, 12, 76
"e:\wamp64\www\ppscpi_lms\client\src\pages\RequestCertificate.jsx", "JavaScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 0, 17, 190
"e:\wamp64\www\ppscpi_lms\client\src\pages\StudentDashboard.css", "PostCSS", 0, 186, 0, 0, 0, 0, 0, 0, 0, 34, 220
"e:\wamp64\www\ppscpi_lms\client\src\pages\StudentDashboard.jsx", "JavaScript JSX", 0, 0, 167, 0, 0, 0, 0, 0, 7, 16, 190
"e:\wamp64\www\ppscpi_lms\client\src\pages\StudentLogin.css", "PostCSS", 0, 135, 0, 0, 0, 0, 0, 0, 0, 21, 156
"e:\wamp64\www\ppscpi_lms\client\src\pages\StudentLogin.jsx", "JavaScript JSX", 0, 0, 90, 0, 0, 0, 0, 0, 0, 10, 100
"e:\wamp64\www\ppscpi_lms\client\src\pages\Transferee.css", "PostCSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 12, 92
"e:\wamp64\www\ppscpi_lms\client\src\pages\Transferee.jsx", "JavaScript JSX", 0, 0, 471, 0, 0, 0, 0, 0, 0, 27, 498
"e:\wamp64\www\ppscpi_lms\client\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 26, 3457, 5201, 2941, 27, 13, 9, 2698, 60, 1478, 15910
